Episode 100	Average Score: 0.71
Episode 200	Average Score: 3.86
Episode 300	Average Score: 6.58
Episode 400	Average Score: 10.60
Episode 500	Average Score: 12.73
Episode 600	Average Score: 14.28
Episode 700	Average Score: 13.92
Episode 764	Average Score: 15.00
Environment solved in 664 episodes!	Average Score: 15.00


1448.4576320648193
